Country,S/N,CODE,STATE,NAME,WIKIDATA,MS_FB_PARE,MS_FB
Nigeria,30,SC/30/AD,Adamawa State,Numan,Q59818688,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:30
Nigeria,31,SC/31/AD,Adamawa State,Lamurde,Q59818690,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:31
Nigeria,32,SC/32/AD,Adamawa State,Song,Q59818691,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:32
Nigeria,33,SC/33/AD,Adamawa State,Girei,Q59818692,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:33
Nigeria,34,SC/34/AD,Adamawa State,Ganye,Q59818693,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:34
Nigeria,35,SC/35/AD,Adamawa State,Toungo,Q59818694,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:35
Nigeria,36,SC/36/AD,Adamawa State,Koma/Leko,Q59818695,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:36
Nigeria,37,SC/37/AD,Adamawa State,Jada/Mbulo,Q59818698,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:37
Nigeria,38,SC/38/AD,Adamawa State,Fufore/Gurin,Q59818700,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:38
Nigeria,39,SC/39/AD,Adamawa State,Verre,Q59818701,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:39
Nigeria,40,SC/40/AD,Adamawa State,Uba/Gaya,Q59818702,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:40
Nigeria,41,SC/41/AD,Adamawa State,Hong,Q59818703,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:41
Nigeria,42,SC/42/AD,Adamawa State,Nassarawa/Binyeri,Q59818704,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:42
Nigeria,43,SC/43/AD,Adamawa State,Mayo-Belwa,Q59818705,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:43
Nigeria,44,SC/44/AD,Adamawa State,Gombi,Q59818706,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:44
Nigeria,45,SC/45/AD,Adamawa State,Shelleng,Q59818708,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:45
Nigeria,46,SC/46/AD,Adamawa State,Madagali,Q59818715,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:46
Nigeria,47,SC/47/AD,Adamawa State,Maiha,Q59818716,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:47
Nigeria,48,SC/48/AD,Adamawa State,Michika,Q59818717,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:48
Nigeria,49,SC/49/AD,Adamawa State,Guyuk,Q59818718,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:49
Nigeria,76,SC/76/AN,Anambra State,Aguata I,Q59818719,country:ng/state:an,country:ng/state:an/state-assembly-constituency:76
Nigeria,77,SC/77/AN,Anambra State,Aguata II,Q59818720,country:ng/state:an,country:ng/state:an/state-assembly-constituency:77
Nigeria,78,SC/78/AN,Anambra State,Anambra East,Q59818721,country:ng/state:an,country:ng/state:an/state-assembly-constituency:78
Nigeria,79,SC/79/AN,Anambra State,Anambra West,Q59818722,country:ng/state:an,country:ng/state:an/state-assembly-constituency:79
Nigeria,80,SC/80/AN,Anambra State,Anaocha I,Q59818723,country:ng/state:an,country:ng/state:an/state-assembly-constituency:80
Nigeria,81,SC/81/AN,Anambra State,Anaocha II,Q59818728,country:ng/state:an,country:ng/state:an/state-assembly-constituency:81
Nigeria,82,SC/82/AN,Anambra State,Awka North,Q59818729,country:ng/state:an,country:ng/state:an/state-assembly-constituency:82
Nigeria,83,SC/83/AN,Anambra State,Awka South I,Q59818731,country:ng/state:an,country:ng/state:an/state-assembly-constituency:83
Nigeria,84,SC/84/AN,Anambra State,Awka South II,Q59818732,country:ng/state:an,country:ng/state:an/state-assembly-constituency:84
Nigeria,85,SC/85/AN,Anambra State,Idemili South,Q59818733,country:ng/state:an,country:ng/state:an/state-assembly-constituency:85
Nigeria,86,SC/86/AN,Anambra State,Idemili North,Q59818734,country:ng/state:an,country:ng/state:an/state-assembly-constituency:86
Nigeria,87,SC/87/AN,Anambra State,Ihiala I,Q59818735,country:ng/state:an,country:ng/state:an/state-assembly-constituency:87
Nigeria,88,SC/88/AN,Anambra State,Ihiala II,Q59818736,country:ng/state:an,country:ng/state:an/state-assembly-constituency:88
Nigeria,89,SC/89/AN,Anambra State,Njikoka I,Q59818737,country:ng/state:an,country:ng/state:an/state-assembly-constituency:89
Nigeria,90,SC/90/AN,Anambra State,Njikoka II,Q59818743,country:ng/state:an,country:ng/state:an/state-assembly-constituency:90
Nigeria,91,SC/91/AN,Anambra State,Nnewi North,Q59818744,country:ng/state:an,country:ng/state:an/state-assembly-constituency:91
Nigeria,92,SC/92/AN,Anambra State,Nnewi South I,Q59818746,country:ng/state:an,country:ng/state:an/state-assembly-constituency:92
Nigeria,93,SC/93/AN,Anambra State,Nnewi South II,Q59818747,country:ng/state:an,country:ng/state:an/state-assembly-constituency:93
Nigeria,94,SC/94/AN,Anambra State,Ekwusigo,Q59818748,country:ng/state:an,country:ng/state:an/state-assembly-constituency:94
Nigeria,95,SC/95/AN,Anambra State,Ogbaru I,Q59818750,country:ng/state:an,country:ng/state:an/state-assembly-constituency:95
Nigeria,96,SC/96/AN,Anambra State,Ogbaru II,Q59818751,country:ng/state:an,country:ng/state:an/state-assembly-constituency:96
Nigeria,97,SC/97/AN,Anambra State,Ayamelum,Q59818752,country:ng/state:an,country:ng/state:an/state-assembly-constituency:97
Nigeria,98,SC/98/AN,Anambra State,Dunukofia,Q59818753,country:ng/state:an,country:ng/state:an/state-assembly-constituency:98
Nigeria,99,SC/99/AN,Anambra State,Onitsha North I,Q59818757,country:ng/state:an,country:ng/state:an/state-assembly-constituency:99
Nigeria,100,SC/100/AN,Anambra State,Onitsha North II,Q59818758,country:ng/state:an,country:ng/state:an/state-assembly-constituency:100
Nigeria,101,SC/101/AN,Anambra State,Onitsha South I,Q59818759,country:ng/state:an,country:ng/state:an/state-assembly-constituency:101
Nigeria,102,SC/102/AN,Anambra State,Onitsha South II,Q59818760,country:ng/state:an,country:ng/state:an/state-assembly-constituency:102
Nigeria,103,SC/103/AN,Anambra State,Orumba North,Q59818762,country:ng/state:an,country:ng/state:an/state-assembly-constituency:103
Nigeria,104,SC/104/AN,Anambra State,Orumba South,Q59818763,country:ng/state:an,country:ng/state:an/state-assembly-constituency:104
Nigeria,105,SC/105/AN,Anambra State,Oyi,Q59818764,country:ng/state:an,country:ng/state:an/state-assembly-constituency:105
Nigeria,53,SC/53/AK,Akwa Ibom State,Esit Eket/Ibeno,Q59818771,country:ng/state:ak,country:ng/state:ak/state-assembly-constituency:53
Nigeria,54,SC/54/AK,Akwa Ibom State,Etim Ekpo/Ika,Q59818772,country:ng/state:ak,country:ng/state:ak/state-assembly-constituency:54
Nigeria,71,SC/71/AK,Akwa Ibom State,Oruk Anam,Q59818800,country:ng/state:ak,country:ng/state:ak/state-assembly-constituency:71
Nigeria,106,SC/106/BA,Bauchi State,Pali,Q59818805,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:106
Nigeria,107,SC/107/BA,Bauchi State,Duguri/Gwana,Q59818807,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:107
Nigeria,108,SC/108/BA,Bauchi State,Kirfi,Q59818809,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:108
Nigeria,109,SC/109/BA,Bauchi State,Bauchi,Q59818812,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:109
Nigeria,110,SC/110/BA,Bauchi State,Zungur/Galambi,Q59818813,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:110
Nigeria,111,SC/111/BA,Bauchi State,Dass,Q59818814,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:111
Nigeria,112,SC/112/BA,Bauchi State,Lere/Bula,Q59818815,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:112
Nigeria,113,SC/113/BA,Bauchi State,Bogoro,Q59818816,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:113
Nigeria,114,SC/114/BA,Bauchi State,Jama’a/Toro,Q59818817,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:114
Nigeria,115,SC/115/BA,Bauchi State,Warji,Q59818818,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:115
Nigeria,116,SC/116/BA,Bauchi State,Lame,Q59818819,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:116
Nigeria,117,SC/117/BA,Bauchi State,Ningi,Q59818821,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:117
Nigeria,118,SC/118/BA,Bauchi State,Burra,Q59818826,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:118
Nigeria,119,SC/119/BA,Bauchi State,Chiroma,Q59818827,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:119
Nigeria,120,SC/120/BA,Bauchi State,Hardawa,Q59818828,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:120
Nigeria,121,SC/121/BA,Bauchi State,Dambam/Dagauda/Jalam,Q59818829,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:121
Nigeria,122,SC/122/BA,Bauchi State,Darazo,Q59818830,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:122
Nigeria,123,SC/123/BA,Bauchi State,Sade,Q59818831,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:123
Nigeria,124,SC/124/BA,Bauchi State,Ganjuwa East,Q59818832,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:124
Nigeria,125,SC/125/BA,Bauchi State,Ganjuwa West,Q59818834,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:125
Nigeria,126,SC/126/BA,Bauchi State,Katagum,Q59818836,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:126
Nigeria,127,SC/127/BA,Bauchi State,Sakwa,Q59818839,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:127
Nigeria,128,SC/128/BA,Bauchi State,Jama’are,Q59818841,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:128
Nigeria,129,SC/129/BA,Bauchi State,Itas/Gadau,Q59818842,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:129
Nigeria,130,SC/130/BA,Bauchi State,Disina,Q59818843,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:130
Nigeria,131,SC/131/BA,Bauchi State,Shira,Q59818844,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:131
Nigeria,132,SC/132/BA,Bauchi State,Giade,Q59818845,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:132
Nigeria,133,SC/133/BA,Bauchi State,Azare,Q59818847,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:133
Nigeria,134,SC/134/BA,Bauchi State,Madara/Chinade,Q59818848,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:134
Nigeria,135,SC/135/BA,Bauchi State,Udubo,Q59818849,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:135
Nigeria,136,SC/136/BA,Bauchi State,Gamawa,Q59818854,country:ng/state:ba,country:ng/state:ba/state-assembly-constituency:136
Nigeria,137,SC/137/BY,Bayelsa State,Brass I,Q59818855,country:ng/state:by,country:ng/state:by/state-assembly-constituency:137
Nigeria,138,SC/138/BY,Bayelsa State,Brass II,Q59818857,country:ng/state:by,country:ng/state:by/state-assembly-constituency:138
Nigeria,139,SC/139/BY,Bayelsa State,Brass IIi,Q59818858,country:ng/state:by,country:ng/state:by/state-assembly-constituency:139
Nigeria,140,SC/140/BY,Bayelsa State,Nembe I,Q59818859,country:ng/state:by,country:ng/state:by/state-assembly-constituency:140
Nigeria,141,SC/141/BY,Bayelsa State,Nembe II,Q59818860,country:ng/state:by,country:ng/state:by/state-assembly-constituency:141
Nigeria,142,SC/142/BY,Bayelsa State,Nembe IIi,Q59818861,country:ng/state:by,country:ng/state:by/state-assembly-constituency:142
Nigeria,143,SC/143/BY,Bayelsa State,Ogbia I,Q59818862,country:ng/state:by,country:ng/state:by/state-assembly-constituency:143
Nigeria,144,SC/144/BY,Bayelsa State,Ogbia II,Q59818863,country:ng/state:by,country:ng/state:by/state-assembly-constituency:144
Nigeria,145,SC/145/BY,Bayelsa State,Ogbia IIi,Q59818869,country:ng/state:by,country:ng/state:by/state-assembly-constituency:145
Nigeria,146,SC/146/BY,Bayelsa State,Kolokuma/Opokuma I,Q59818870,country:ng/state:by,country:ng/state:by/state-assembly-constituency:146
Nigeria,147,SC/147/BY,Bayelsa State,Kolokuma/Opokuma Ii,Q59818871,country:ng/state:by,country:ng/state:by/state-assembly-constituency:147
Nigeria,148,SC/148/BY,Bayelsa State,Yenagoa I,Q59818872,country:ng/state:by,country:ng/state:by/state-assembly-constituency:148
Nigeria,149,SC/149/BY,Bayelsa State,Yenagoa II,Q59818873,country:ng/state:by,country:ng/state:by/state-assembly-constituency:149
Nigeria,150,SC/150/BY,Bayelsa State,Yenagoa IIi,Q59818874,country:ng/state:by,country:ng/state:by/state-assembly-constituency:150
Nigeria,151,SC/151/BY,Bayelsa State,Ekeremor I,Q59818875,country:ng/state:by,country:ng/state:by/state-assembly-constituency:151
Nigeria,152,SC/152/BY,Bayelsa State,Ekeremor II,Q59818877,country:ng/state:by,country:ng/state:by/state-assembly-constituency:152
Nigeria,153,SC/153/BY,Bayelsa State,Ekeremor IIi,Q59818878,country:ng/state:by,country:ng/state:by/state-assembly-constituency:153
Nigeria,154,SC/154/BY,Bayelsa State,Sagbama I,Q59818880,country:ng/state:by,country:ng/state:by/state-assembly-constituency:154
Nigeria,155,SC/155/BY,Bayelsa State,Sagbama II,Q59818881,country:ng/state:by,country:ng/state:by/state-assembly-constituency:155
Nigeria,156,SC/156/BY,Bayelsa State,Sagbama IIi,Q59818883,country:ng/state:by,country:ng/state:by/state-assembly-constituency:156
Nigeria,157,SC/157/BY,Bayelsa State,Southern Ijaw I,Q59818884,country:ng/state:by,country:ng/state:by/state-assembly-constituency:157
Nigeria,158,SC/158/BY,Bayelsa State,Southern Ijaw II,Q59818885,country:ng/state:by,country:ng/state:by/state-assembly-constituency:158
Nigeria,159,SC/159/BY,Bayelsa State,Southern Ijaw IIi,Q59818886,country:ng/state:by,country:ng/state:by/state-assembly-constituency:159
Nigeria,160,SC/160/BY,Bayelsa State,Southern Ijaw Iv,Q59818887,country:ng/state:by,country:ng/state:by/state-assembly-constituency:160
Nigeria,161,SC/161/BN,Benue State,Ado,Q59818888,country:ng/state:be,country:ng/state:be/state-assembly-constituency:161
Nigeria,162,SC/162/BN,Benue State,Agbatu,Q59818889,country:ng/state:be,country:ng/state:be/state-assembly-constituency:162
Nigeria,163,SC/163/BN,Benue State,Apa,Q59818890,country:ng/state:be,country:ng/state:be/state-assembly-constituency:163
Nigeria,164,SC/164/BN,Benue State,Buruku,Q59818891,country:ng/state:be,country:ng/state:be/state-assembly-constituency:164
Nigeria,165,SC/165/BN,Benue State,Gboko I (east),Q59818892,country:ng/state:be,country:ng/state:be/state-assembly-constituency:165
Nigeria,166,SC/166/BN,Benue State,Gboko West,Q59818893,country:ng/state:be,country:ng/state:be/state-assembly-constituency:166
Nigeria,167,SC/167/BN,Benue State,Guma,Q59818894,country:ng/state:be,country:ng/state:be/state-assembly-constituency:167
Nigeria,168,SC/168/BN,Benue State,Gwer East,Q59818895,country:ng/state:be,country:ng/state:be/state-assembly-constituency:168
Nigeria,169,SC/169/BN,Benue State,Gwer West,Q59818896,country:ng/state:be,country:ng/state:be/state-assembly-constituency:169
Nigeria,170,SC/170/BN,Benue State,Katsina Ala East,Q59818898,country:ng/state:be,country:ng/state:be/state-assembly-constituency:170
Nigeria,171,SC/171/BN,Benue State,Katsina-Ala West,Q59818899,country:ng/state:be,country:ng/state:be/state-assembly-constituency:171
Nigeria,172,SC/172/BN,Benue State,Konshisha I (gaav),Q59818903,country:ng/state:be,country:ng/state:be/state-assembly-constituency:172
Nigeria,173,SC/173/BN,Benue State,Kwande East,Q59818904,country:ng/state:be,country:ng/state:be/state-assembly-constituency:173
Nigeria,174,SC/174/BN,Benue State,Kwande West,Q59818905,country:ng/state:be,country:ng/state:be/state-assembly-constituency:174
Nigeria,175,SC/175/BN,Benue State,Logo,Q59818907,country:ng/state:be,country:ng/state:be/state-assembly-constituency:175
Nigeria,176,SC/176/BN,Benue State,Makurdi I (north),Q59818908,country:ng/state:be,country:ng/state:be/state-assembly-constituency:176
Nigeria,177,SC/177/BN,Benue State,Makurdi South,Q59818909,country:ng/state:be,country:ng/state:be/state-assembly-constituency:177
Nigeria,178,SC/178/BN,Benue State,Obi,Q59818910,country:ng/state:be,country:ng/state:be/state-assembly-constituency:178
Nigeria,179,SC/179/BN,Benue State,Ogbadibo,Q59818911,country:ng/state:be,country:ng/state:be/state-assembly-constituency:179
Nigeria,180,SC/180/BN,Benue State,Ohimini,Q59818912,country:ng/state:be,country:ng/state:be/state-assembly-constituency:180
Nigeria,181,SC/181/BN,Benue State,Oju,Q59818917,country:ng/state:be,country:ng/state:be/state-assembly-constituency:181
Nigeria,182,SC/182/BN,Benue State,Okpokwu,Q59818918,country:ng/state:be,country:ng/state:be/state-assembly-constituency:182
Nigeria,183,SC/183/BN,Benue State,Otukpo,Q59818919,country:ng/state:be,country:ng/state:be/state-assembly-constituency:183
Nigeria,184,SC/184/BN,Benue State,Otukpo North East,Q59818920,country:ng/state:be,country:ng/state:be/state-assembly-constituency:184
Nigeria,185,SC/185/BN,Benue State,Tarka,Q59818921,country:ng/state:be,country:ng/state:be/state-assembly-constituency:185
Nigeria,186,SC/186/BN,Benue State,Ukum I (ngenev),Q59818922,country:ng/state:be,country:ng/state:be/state-assembly-constituency:186
Nigeria,187,SC/187/BN,Benue State,Ushongo,Q59818923,country:ng/state:be,country:ng/state:be/state-assembly-constituency:187
Nigeria,188,SC/188/BN,Benue State,Vandeikya I,Q59818924,country:ng/state:be,country:ng/state:be/state-assembly-constituency:188
Nigeria,189,SC/189/BN,Benue State,Vandeikya II,Q59818925,country:ng/state:be,country:ng/state:be/state-assembly-constituency:189
Nigeria,191,SC/191/BO,Borno State,Askira,Q59818931,country:ng/state:bo,country:ng/state:bo/state-assembly-constituency:191
Nigeria,199,SC/199/BO,Borno State,Gulumba,Q59818941,country:ng/state:bo,country:ng/state:bo/state-assembly-constituency:199
Nigeria,219,SC/219/CR,Cross River State,Akamkpa I,Q59818965,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:219
Nigeria,220,SC/220/CR,Cross River State,Akamkpa II,Q59818967,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:220
Nigeria,224,SC/224/CR,Cross River State,Boki I,Q59818972,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:224
Nigeria,225,SC/225/CR,Cross River State,Boki II,Q59818973,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:225
Nigeria,228,SC/228/CR,Cross River State,Calabar South I,Q59818977,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:228
Nigeria,229,SC/229/CR,Cross River State,Calabar South II,Q59818979,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:229
Nigeria,231,SC/231/CR,Cross River State,Ikom I,Q59818981,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:231
Nigeria,232,SC/232/CR,Cross River State,Ikom II,Q59818982,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:232
Nigeria,234,SC/234/CR,Cross River State,Obubra I,Q59818984,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:234
Nigeria,235,SC/235/CR,Cross River State,Obubra II,Q59818989,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:235
Nigeria,239,SC/239/CR,Cross River State,Yakurr I,Q59818993,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:239
Nigeria,240,SC/240/CR,Cross River State,Yakurr II,Q59818994,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:240
Nigeria,241,SC/241/CR,Cross River State,Yala I,Q59818995,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:241
Nigeria,242,SC/242/CR,Cross River State,Yala II,Q59818996,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:242
Nigeria,246,SC/246/DT,Delta State,Burutu,Q59819002,country:ng/state:de,country:ng/state:de/state-assembly-constituency:246
Nigeria,247,SC/247/DT,Delta State,Burutu North,Q59819004,country:ng/state:de,country:ng/state:de/state-assembly-constituency:247
Nigeria,253,SC/253/DT,Delta State,Isoko South I,Q59819013,country:ng/state:de,country:ng/state:de/state-assembly-constituency:253
Nigeria,254,SC/254/DT,Delta State,Isoko South II,Q59819015,country:ng/state:de,country:ng/state:de/state-assembly-constituency:254
Nigeria,263,SC/263/DT,Delta State,Ughelli North I,Q59819028,country:ng/state:de,country:ng/state:de/state-assembly-constituency:263
Nigeria,264,SC/264/DT,Delta State,Ughelli North II,Q59819029,country:ng/state:de,country:ng/state:de/state-assembly-constituency:264
Nigeria,269,SC/269/DT,Delta State,Warri South I,Q59819034,country:ng/state:de,country:ng/state:de/state-assembly-constituency:269
Nigeria,270,SC/270/DT,Delta State,Warri South II,Q59819035,country:ng/state:de,country:ng/state:de/state-assembly-constituency:270
Nigeria,272,SC/272/EB,Ebonyi State,Abakaliki North,Q59819040,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:272
Nigeria,274,SC/274/EB,Ebonyi State,Afikpo North East,Q59819043,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:274
Nigeria,275,SC/275/EB,Ebonyi State,Afikpo North West,Q59819044,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:275
Nigeria,276,SC/276/EB,Ebonyi State,Afikpo South East,Q59819045,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:276
Nigeria,277,SC/277/EB,Ebonyi State,Afikpo South West,Q59819046,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:277
Nigeria,278,SC/278/EB,Ebonyi State,Ebonyi North East,Q59819047,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:278
Nigeria,279,SC/279/EB,Ebonyi State,Ebonyi North West,Q59819048,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:279
Nigeria,280,SC/280/EB,Ebonyi State,Ezza North East,Q59819049,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:280
Nigeria,281,SC/281/EB,Ebonyi State,Ezza North West,Q59819050,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:281
Nigeria,283,SC/283/EB,Ebonyi State,Ikwo North,Q59819052,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:283
Nigeria,284,SC/284/EB,Ebonyi State,Ikwo South,Q59819053,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:284
Nigeria,285,SC/285/EB,Ebonyi State,Ishielu North,Q59819054,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:285
Nigeria,286,SC/286/EB,Ebonyi State,Ishielu South,Q59819055,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:286
Nigeria,288,SC/288/EB,Ebonyi State,Izzi East,Q59819057,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:288
Nigeria,289,SC/289/EB,Ebonyi State,Izzi West,Q59819062,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:289
Nigeria,290,SC/290/EB,Ebonyi State,Ohaozara East,Q59819064,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:290
Nigeria,291,SC/291/EB,Ebonyi State,Ohaozara West,Q59819065,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:291
Nigeria,292,SC/292/EB,Ebonyi State,Onicha East,Q59819066,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:292
Nigeria,293,SC/293/EB,Ebonyi State,Onicha West,Q59819067,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:293
Nigeria,294,SC/294/EB,Ebonyi State,Ohaukwu North,Q59819068,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:294
Nigeria,295,SC/295/EB,Ebonyi State,Ohaukwu South,Q59819069,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:295
Nigeria,296,SC/296/ED,Edo State,Akoko Edo I,Q59819070,country:ng/state:ed,country:ng/state:ed/state-assembly-constituency:296
Nigeria,297,SC/297/ED,Edo State,Akoko Edo II,Q59819071,country:ng/state:ed,country:ng/state:ed/state-assembly-constituency:297
Nigeria,298,SC/298/ED,Edo State,Esan Central,Q59819074,country:ng/state:ed,country:ng/state:ed/state-assembly-constituency:298
Nigeria,299,SC/299/ED,Edo State,Esan West,Q59819076,country:ng/state:ed,country:ng/state:ed/state-assembly-constituency:299
Nigeria,300,SC/300/ED,Edo State,Esan North East I,Q59819078,country:ng/state:ed,country:ng/state:ed/state-assembly-constituency:300
Nigeria,301,SC/301/ED,Edo State,Esan North East II,Q59819079,country:ng/state:ed,country:ng/state:ed/state-assembly-constituency:301
Nigeria,302,SC/302/ED,Edo State,Essan South East,Q59819080,country:ng/state:ed,country:ng/state:ed/state-assembly-constituency:302
