Country,S/N,CODE,STATE,NAME,WIKIDATA,MS_FB_PARE,MS_FB
Nigeria,1,SC/01/AB,Abia State,Aba North,Q59818646,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:01
Nigeria,2,SC/02/AB,Abia State,Aba South,Q59818647,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:02
Nigeria,3,SC/03/AB,Abia State,Aba Central,Q59818648,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:03
Nigeria,5,SC/05/AB,Abia State,Bende North,Q59818650,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:05
Nigeria,6,SC/06/AB,Abia State,Bende South,Q59818651,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:06
Nigeria,11,SC/11/AB,Abia State,Obingwa East,Q59818661,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:11
Nigeria,12,SC/12/AB,Abia State,Obingwa West,Q59818663,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:12
Nigeria,13,SC/13/AB,Abia State,Ohafia North,Q59818664,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:13
Nigeria,14,SC/14/AB,Abia State,Ohafia South,Q59818665,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:14
Nigeria,15,SC/15/AB,Abia State,Osisioma North,Q59818667,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:15
Nigeria,16,SC/16/AB,Abia State,Osisioma South,Q59818668,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:16
Nigeria,21,SC/21/AB,Abia State,Umuahia East,Q59818674,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:21
Nigeria,22,SC/22/AB,Abia State,Umuahia West,Q59818675,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:22
Nigeria,23,SC/23/AB,Abia State,Umuahia Central,Q59818676,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:23
Nigeria,24,SC/24/AB,Abia State,Umuahia South,Q59818677,country:ng/state:ab,country:ng/state:ab/state-assembly-constituency:24
Nigeria,25,SC/25/AD,Adamawa State,Yola South,Q59818679,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:25
Nigeria,26,SC/26/AD,Adamawa State,Yola North,Q59818681,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:26
Nigeria,27,SC/27/AD,Adamawa State,Mubi North,Q59818682,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:27
Nigeria,28,SC/28/AD,Adamawa State,Mubi South,Q59818685,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:28
Nigeria,29,SC/29/AD,Adamawa State,Demsa,Q59818686,country:ng/state:ad,country:ng/state:ad/state-assembly-constituency:29
