NAME,MS_FB_PARE,MS_FB,WIKIDATA,CODE
Eleme/Tai/Oyigbo,country:ng/state:ri,country:ng/state:ri/federal-constituency:322,Q59681489,FC/322/RV
Binji/Silame,country:ng/state:so,country:ng/state:so/federal-constituency:334,Q59681507,FC/334/SO
Dange Shuni/Bodinga/Tureta,country:ng/state:so,country:ng/state:so/federal-constituency:337,Q59681511,FC/337/SO
Goronyo/Gada,country:ng/state:so,country:ng/state:so/federal-constituency:330,Q59681502,FC/330/SO
Tangaza/Gudu,country:ng/state:so,country:ng/state:so/federal-constituency:333,Q59681506,FC/333/SO
Illela/Gwadabawa,country:ng/state:so,country:ng/state:so/federal-constituency:332,Q59681505,FC/332/SO
Isa/Sabon Birni,country:ng/state:so,country:ng/state:so/federal-constituency:329,Q59681501,FC/329/SO
Kebbe/Tambuwal,country:ng/state:so,country:ng/state:so/federal-constituency:339,Q59681514,FC/339/SO
Damboa/Gwoza/Chibok,country:ng/state:bo,country:ng/state:bo/federal-constituency:070,Q59681043,FC/070/BO
Askira–Uba/Hawul,country:ng/state:bo,country:ng/state:bo/federal-constituency:066,Q59681039,FC/066/BO
Jere,country:ng/state:bo,country:ng/state:bo/federal-constituency:075,Q59681054,FC/075/BO
Kaga/Gubio/Magumeri,country:ng/state:bo,country:ng/state:bo/federal-constituency:071,Q59681044,FC/071/BO
Bama/Ngala/Kalabalge,country:ng/state:bo,country:ng/state:bo/federal-constituency:067,Q59681040,FC/067/BO
Dikwa/Mafa/Konduga,country:ng/state:bo,country:ng/state:bo/federal-constituency:069,Q59681042,FC/069/BO
Kukawa/Mobbar/Abadam/Guzamala,country:ng/state:bo,country:ng/state:bo/federal-constituency:073,Q59681052,FC/073/BO
Biu/Shani/Kwayakusar/ Bayo,country:ng/state:bo,country:ng/state:bo/federal-constituency:068,Q59681041,FC/068/BO
Maiduguri Metro. Council,country:ng/state:bo,country:ng/state:bo/federal-constituency:074,Q59681053,FC/074/BO
Esan N-East/Esan S-East,country:ng/state:ed,country:ng/state:ed/federal-constituency:102,Q59681097,FC/102/ED
Ibadan N. East/Ibadan S.East,country:ng/state:oy,country:ng/state:oy/federal-constituency:305,Q59681463,FC/305/OY
Esan Central/Esan West/Igueben,country:ng/state:ed,country:ng/state:ed/federal-constituency:101,Q59681096,FC/101/ED
