NAME,MS_FB_PARE,MS_FB,NAME_EN,WIKIDATA
Rivers East,country:ng/state:ri,country:ng/state:ri/senate-district:rivers-east,Rivers East,Q25044161
Rivers South East,country:ng/state:ri,country:ng/state:ri/senate-district:rivers-south-east,Rivers South-East,Q25044132
Sokoto North,country:ng/state:so,country:ng/state:so/senate-district:sokoto-north,Sokoto North,Q59678452
Sokoto South,country:ng/state:so,country:ng/state:so/senate-district:sokoto-south,Sokoto South,Q59678453
Sokoto East,country:ng/state:so,country:ng/state:so/senate-district:sokoto-east,Sokoto East,Q59678451
Borno South,country:ng/state:bo,country:ng/state:bo/senate-district:borno-south,Borno South,Q59678346
Borno Central,country:ng/state:bo,country:ng/state:bo/senate-district:borno-central,Borno Central,Q59678345
Borno North,country:ng/state:bo,country:ng/state:bo/senate-district:borno-north,Borno North,Q59678344
Edo Central,country:ng/state:ed,country:ng/state:ed/senate-district:edo-central,Edo Central,Q59678367
Edo North,country:ng/state:ed,country:ng/state:ed/senate-district:edo-north,Edo North,Q59678370
Edo South,country:ng/state:ed,country:ng/state:ed/senate-district:edo-south,Edo South,Q59678371
Abia South,country:ng/state:ab,country:ng/state:ab/senate-district:abia-south,Abia South,Q59678315
Abia North,country:ng/state:ab,country:ng/state:ab/senate-district:abia-north,Abia North,Q59678313
Abia Central,country:ng/state:ab,country:ng/state:ab/senate-district:abia-central,Abia Central,Q59678314
Adamawa South,country:ng/state:ad,country:ng/state:ad/senate-district:adamawa-south,Adamawa South,Q59678318
Adamawa Central,country:ng/state:ad,country:ng/state:ad/senate-district:adamawa-central,Adamawa Central,Q59678319
Adamawa North,country:ng/state:ad,country:ng/state:ad/senate-district:adamawa-north,Adamawa North,Q59678317
Akwa Ibom North - West,country:ng/state:ak,country:ng/state:ak/senate-district:akwa-ibom-north-west,Akwa Ibom North-West,Q59678321
Akwa Ibom South,country:ng/state:ak,country:ng/state:ak/senate-district:akwa-ibom-south,Akwa Ibom South,Q59678323
Akwa Ibom North- East,country:ng/state:ak,country:ng/state:ak/senate-district:akwa-ibom-north-east,Akwa Ibom North-East,Q59678320
Anambra South,country:ng/state:an,country:ng/state:an/senate-district:anambra-south,Anambra South,Q59678328
Anambra North,country:ng/state:an,country:ng/state:an/senate-district:anambra-north,Anambra North,Q59678326
Anambra Central,country:ng/state:an,country:ng/state:an/senate-district:anambra-central,Anambra Central,Q59678327
Bauchi South,country:ng/state:ba,country:ng/state:ba/senate-district:bauchi-south,Bauchi South,Q59678329
Bauchi Central,country:ng/state:ba,country:ng/state:ba/senate-district:bauchi-central,Bauchi Central,Q59678330
Bauchi North,country:ng/state:ba,country:ng/state:ba/senate-district:bauchi-north,Bauchi North,Q59678331
Bayelsa East,country:ng/state:by,country:ng/state:by/senate-district:bayelsa-east,Bayelsa East,Q59678332
Bayelsa West,country:ng/state:by,country:ng/state:by/senate-district:bayelsa-west,Bayelsa West,Q59678335
Bayelsa Central,country:ng/state:by,country:ng/state:by/senate-district:bayelsa-central,Bayelsa Central,Q59678333
Benue South,country:ng/state:be,country:ng/state:be/senate-district:benue-south,Benue South,Q59678343
Benue North-West,country:ng/state:be,country:ng/state:be/senate-district:benue-north-west,Benue North-West,Q59678342
Benue North-East,country:ng/state:be,country:ng/state:be/senate-district:benue-north-east,Benue North-East,Q59678340
Cross River Central,country:ng/state:cr,country:ng/state:cr/senate-district:cross-river-central,Cross River Central,Q59678348
Cross River South,country:ng/state:cr,country:ng/state:cr/senate-district:cross-river-south,Cross River South,Q59678349
Cross River North,country:ng/state:cr,country:ng/state:cr/senate-district:cross-river-north,Cross River North,Q59678347
Delta North,country:ng/state:de,country:ng/state:de/senate-district:delta-north,Delta North,Q59678357
Delta South,country:ng/state:de,country:ng/state:de/senate-district:delta-south,Delta South,Q59678359
Delta Central,country:ng/state:de,country:ng/state:de/senate-district:delta-central,Delta Central,Q59678354
