ID_0,Country,ID_1,State,ID_2,LGA,ID_3,Ward,WARD_ID
164,Nigeria,2016,Abia,23315,Aba North,12,Umuogor,23315_12
164,Nigeria,2016,Abia,23315,Aba North,6,Uratta,23315_6
164,Nigeria,2016,Abia,23315,Aba North,9,Ariaria Market,23315_9
164,Nigeria,2016,Abia,23315,Aba North,5,St. Eugenes by Okigwe Rd.,23315_5
164,Nigeria,2016,Abia,23315,Aba North,3,Osusu I,23315_3
164,Nigeria,2016,Abia,23315,Aba North,4,Osusu II,23315_4
164,Nigeria,2016,Abia,23315,Aba North,1,Eziama,23315_1
164,Nigeria,2016,Abia,23315,Aba North,7,Old Aba Gra,23315_7
164,Nigeria,2016,Abia,23315,Aba North,2,Industrial Area,23315_2
164,Nigeria,2016,Abia,23315,Aba North,8,Umuola,23315_8
164,Nigeria,2016,Abia,23315,Aba North,10,Ogbor I,23315_10
164,Nigeria,2016,Abia,23315,Aba North,11,Ogbor II,23315_11
164,Nigeria,2016,Abia,23316,Aba South,1,Eziukwu,23316_1
164,Nigeria,2016,Abia,23316,Aba South,2,Asa,23316_2
164,Nigeria,2016,Abia,23316,Aba South,3,Enyimba,23316_3
164,Nigeria,2016,Abia,23316,Aba South,7,Igwebuike,23316_7
164,Nigeria,2016,Abia,23316,Aba South,4,Ngwa,23316_4
164,Nigeria,2016,Abia,23316,Aba South,6,Ohazu II,23316_6
164,Nigeria,2016,Abia,23316,Aba South,5,Ohazu I,23316_5
164,Nigeria,2016,Abia,23316,Aba South,11,Aba River,23316_11
164,Nigeria,2016,Abia,23316,Aba South,8,Ekeoha,23316_8
164,Nigeria,2016,Abia,23316,Aba South,10,Mosque,23316_10
164,Nigeria,2016,Abia,23316,Aba South,9,Gloucester,23316_9
164,Nigeria,2016,Abia,23316,Aba South,12,Aba Town Hall,23316_12
164,Nigeria,2016,Abia,23317,Arochukwu,4,Ohafor II,23317_4
164,Nigeria,2016,Abia,23317,Arochukwu,3,Ohafor I,23317_3
164,Nigeria,2016,Abia,23317,Arochukwu,2,Ohaeke,23317_2
164,Nigeria,2016,Abia,23317,Arochukwu,1,Ovukwu,23317_1
164,Nigeria,2016,Abia,23317,Arochukwu,8,Eleoha Ihechiowa,23317_8
164,Nigeria,2016,Abia,23317,Arochukwu,7,Ikwun Ihechiowa,23317_7
164,Nigeria,2016,Abia,23317,Arochukwu,11,Arochukwu III,23317_11
164,Nigeria,2016,Abia,23317,Arochukwu,9,Ututu,23317_9
164,Nigeria,2016,Abia,23317,Arochukwu,6,Arochukwu II,23317_6
164,Nigeria,2016,Abia,23317,Arochukwu,5,Arochukwu I,23317_5
164,Nigeria,2016,Abia,23317,Arochukwu,10,Isu,23317_10
164,Nigeria,2016,Abia,23318,Bende,9,Itumbauzo,23318_9
164,Nigeria,2016,Abia,23318,Bende,2,Bende,23318_2
164,Nigeria,2016,Abia,23318,Bende,12,Umu - Imenyi,23318_12
164,Nigeria,2016,Abia,23318,Bende,13,Uzuakoli,23318_13
164,Nigeria,2016,Abia,23318,Bende,10,Ozuitem,23318_10
164,Nigeria,2016,Abia,23318,Bende,11,Umuhu / Ezechi,23318_11
164,Nigeria,2016,Abia,23318,Bende,1,Amankalu/Akoliufu,23318_1
164,Nigeria,2016,Abia,23318,Bende,3,Ugwueke/Ezeukwu,23318_3
164,Nigeria,2016,Abia,23318,Bende,5,Igbere 'B',23318_5
164,Nigeria,2016,Abia,23318,Bende,4,Igbere 'A',23318_4
164,Nigeria,2016,Abia,23318,Bende,8,Item C,23318_8
164,Nigeria,2016,Abia,23318,Bende,6,Item A,23318_6
164,Nigeria,2016,Abia,23318,Bende,7,Item B,23318_7
164,Nigeria,2016,Abia,23319,Ikwuano,2,Oloko II,23319_2
164,Nigeria,2016,Abia,23319,Ikwuano,10,Usaka,23319_10
164,Nigeria,2016,Abia,23319,Ikwuano,9,Ariam,23319_9
164,Nigeria,2016,Abia,23319,Ikwuano,7,Oboro III,23319_7
164,Nigeria,2016,Abia,23319,Ikwuano,8,Oboro IV,23319_8
164,Nigeria,2016,Abia,23319,Ikwuano,6,Oboro II,23319_6
164,Nigeria,2016,Abia,23319,Ikwuano,3,Ibere I,23319_3
164,Nigeria,2016,Abia,23319,Ikwuano,4,Ibere II,23319_4
164,Nigeria,2016,Abia,23319,Ikwuano,5,Oboro I,23319_5
164,Nigeria,2016,Abia,23319,Ikwuano,1,Oloko I,23319_1
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,1,Amasaa Nsulu,23320_1
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,2,Umunna Nsulu,23320_2
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,9,Umuoha,23320_9
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,3,Isiala Nsulu,23320_3
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,5,Ngwa Ukwu II,23320_5
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,4,Ngwa Ukwu I,23320_4
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,8,Amapu Ntigha,23320_8
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,10,Mbawsi / Umuomainta,23320_10
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,7,Amasaa Ntigha,23320_7
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,6,Ihie,23320_6
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,3,Mbutu Ukwu,23321_3
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,1,Amaise / Amaise Anaba,23321_1
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,2,Ngwaobi,23321_2
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,4,Mbutu Ngwa,23321_4
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,8,Ovungwu,23321_8
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,10,Okporo Ahaba,23321_10
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,9,Ovuokwu,23321_9
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,7,Omoba,23321_7
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,5,Ehina Guru Osokwa,23321_5
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,6,Akunekpu Eziama Na Obuba,23321_6
164,Nigeria,2016,Abia,23322,Isuikwuato,1,Imenyi,23322_1
164,Nigeria,2016,Abia,23322,Isuikwuato,2,Ezere,23322_2
164,Nigeria,2016,Abia,23322,Isuikwuato,3,Isiala Amawu,23322_3
164,Nigeria,2016,Abia,23322,Isuikwuato,4,Isu Amawu,23322_4
164,Nigeria,2016,Abia,23322,Isuikwuato,5,Ogunduasa,23322_5
164,Nigeria,2016,Abia,23322,Isuikwuato,6,Umunnekwu,23322_6
164,Nigeria,2016,Abia,23322,Isuikwuato,7,Achara / Mgbugwu,23322_7
164,Nigeria,2016,Abia,23322,Isuikwuato,8,Ikeagha I,23322_8
164,Nigeria,2016,Abia,23322,Isuikwuato,10,Umuanyi / Absu,23322_10
164,Nigeria,2016,Abia,23322,Isuikwuato,9,Ikeagha II,23322_9
164,Nigeria,2016,Abia,23323,Oboma Ngwa,3,Mgboko Umuanunu,23323_3
164,Nigeria,2016,Abia,23323,Oboma Ngwa,4,Mgboko Itungwa,23323_4
164,Nigeria,2016,Abia,23323,Oboma Ngwa,6,Maboko Amairi,23323_6
164,Nigeria,2016,Abia,23323,Oboma Ngwa,5,Ahiaba,23323_5
164,Nigeria,2016,Abia,23323,Oboma Ngwa,2,Abayi  II,23323_2
164,Nigeria,2016,Abia,23323,Oboma Ngwa,8,Akumaimo,23323_8
164,Nigeria,2016,Abia,23323,Oboma Ngwa,1,Abayi  I,23323_1
164,Nigeria,2016,Abia,23323,Oboma Ngwa,10,Ntighauzo Amairi,23323_10
164,Nigeria,2016,Abia,23323,Oboma Ngwa,11,Ibeme,23323_11
164,Nigeria,2016,Abia,23323,Oboma Ngwa,9,Ndiarata / Amairinabua,23323_9
164,Nigeria,2016,Abia,23323,Oboma Ngwa,7,Alaukwu Ohanze,23323_7
164,Nigeria,2016,Abia,23324,Ohafia,1,Isiama Ohafia,23324_1
164,Nigeria,2016,Abia,23324,Ohafia,2,Ebem Ohafia,23324_2
164,Nigeria,2016,Abia,23324,Ohafia,10,Ania Ohafia,23324_10
164,Nigeria,2016,Abia,23324,Ohafia,8,Ohafor Ohafia,23324_8
164,Nigeria,2016,Abia,23324,Ohafia,9,Okamu Ohafia,23324_9
164,Nigeria,2016,Abia,23324,Ohafia,11,Ndi Agbo Nkporo,23324_11
164,Nigeria,2016,Abia,23324,Ohafia,4,Ndi Etiti Nkporo,23324_4
164,Nigeria,2016,Abia,23324,Ohafia,3,Ndi Elu Nkporo,23324_3
164,Nigeria,2016,Abia,23324,Ohafia,7,Agboji Abiriba,23324_7
164,Nigeria,2016,Abia,23324,Ohafia,5,Amaeke Abiriba,23324_5
164,Nigeria,2016,Abia,23324,Ohafia,6,Amaogudu Abiriba,23324_6
164,Nigeria,2016,Abia,23325,Osisioma,2,Amaitolu Mbutu Umuojima,23325_2
164,Nigeria,2016,Abia,23325,Osisioma,3,Amasator,23325_3
164,Nigeria,2016,Abia,23325,Osisioma,1,Amavo,23325_1
164,Nigeria,2016,Abia,23325,Osisioma,7,Urtta,23325_7
164,Nigeria,2016,Abia,23325,Osisioma,8,Amator,23325_8
164,Nigeria,2016,Abia,23325,Osisioma,6,Oso - Okwa,23325_6
164,Nigeria,2016,Abia,23325,Osisioma,5,Ama - Asaa,23325_5
164,Nigeria,2016,Abia,23325,Osisioma,4,Aro - Ngwa,23325_4
164,Nigeria,2016,Abia,23325,Osisioma,9,Umunneise,23325_9
164,Nigeria,2016,Abia,23325,Osisioma,10,Okpor - Umuobo,23325_10
164,Nigeria,2016,Abia,23326,Ugwunagbo,8,Ward Eight,23326_8
164,Nigeria,2016,Abia,23326,Ugwunagbo,9,Ward Nine,23326_9
164,Nigeria,2016,Abia,23326,Ugwunagbo,10,Ward Ten,23326_10
164,Nigeria,2016,Abia,23326,Ugwunagbo,7,Ward Seven,23326_7
164,Nigeria,2016,Abia,23326,Ugwunagbo,5,Ward Five,23326_5
164,Nigeria,2016,Abia,23326,Ugwunagbo,1,Ward One,23326_1
164,Nigeria,2016,Abia,23326,Ugwunagbo,6,Ward Six,23326_6
164,Nigeria,2016,Abia,23326,Ugwunagbo,4,Ward Four,23326_4
164,Nigeria,2016,Abia,23326,Ugwunagbo,2,Ward Two,23326_2
164,Nigeria,2016,Abia,23326,Ugwunagbo,3,Ward Three,23326_3
164,Nigeria,2016,Abia,23327,Ukwa East,5,Akwete,23327_5
164,Nigeria,2016,Abia,23327,Ukwa East,7,Ikwueke East,23327_7
164,Nigeria,2016,Abia,23327,Ukwa East,4,Umuigube Achara,23327_4
164,Nigeria,2016,Abia,23327,Ukwa East,6,Obohia,23327_6
164,Nigeria,2016,Abia,23327,Ukwa East,10,Ikwuorie,23327_10
164,Nigeria,2016,Abia,23327,Ukwa East,8,Ikwueke  West,23327_8
164,Nigeria,2016,Abia,23327,Ukwa East,9,Nkporobe/Ohuru,23327_9
164,Nigeria,2016,Abia,23327,Ukwa East,1,Ikwuriator East,23327_1
164,Nigeria,2016,Abia,23327,Ukwa East,2,Ikwuriator West,23327_2
164,Nigeria,2016,Abia,23327,Ukwa East,3,Azumini,23327_3
164,Nigeria,2016,Abia,23328,Ukwa West,1,Asa North,23328_1
164,Nigeria,2016,Abia,23328,Ukwa West,3,Ogwe,23328_3
164,Nigeria,2016,Abia,23328,Ukwa West,2,Obokwe,23328_2
164,Nigeria,2016,Abia,23328,Ukwa West,5,Obuzor,23328_5
164,Nigeria,2016,Abia,23328,Ukwa West,7,Ipu  East,23328_7
164,Nigeria,2016,Abia,23328,Ukwa West,4,Asa South,23328_4
164,Nigeria,2016,Abia,23328,Ukwa West,8,Ipu South,23328_8
164,Nigeria,2016,Abia,23328,Ukwa West,6,Ipu West,23328_6
164,Nigeria,2016,Abia,23328,Ukwa West,10,Ozaa  West,23328_10
164,Nigeria,2016,Abia,23328,Ukwa West,9,Ozaa Ukwu,23328_9
164,Nigeria,2016,Abia,23329,Umuahia North,11,Umuhu,23329_11
164,Nigeria,2016,Abia,23329,Umuahia North,10,Afugiri,23329_10
164,Nigeria,2016,Abia,23329,Umuahia North,8,Nkwoachara,23329_8
164,Nigeria,2016,Abia,23329,Umuahia North,9,Nkwoegwu,23329_9
164,Nigeria,2016,Abia,23329,Umuahia North,7,Umuahia Urban  III,23329_7
164,Nigeria,2016,Abia,23329,Umuahia North,3,Ndume,23329_3
164,Nigeria,2016,Abia,23329,Umuahia North,12,Isingwu,23329_12
164,Nigeria,2016,Abia,23329,Umuahia North,1,Ibeku East I,23329_1
164,Nigeria,2016,Abia,23329,Umuahia North,6,Umuahia Urban II,23329_6
164,Nigeria,2016,Abia,23329,Umuahia North,4,Ibeku West,23329_4
164,Nigeria,2016,Abia,23329,Umuahia North,2,Ibeku East II,23329_2
164,Nigeria,2016,Abia,23329,Umuahia North,5,Umuahia Urban  I,23329_5
164,Nigeria,2016,Abia,23330,Umuahia South,1,Ezeleke/Ogbodiukwu,23330_1
164,Nigeria,2016,Abia,23330,Umuahia South,5,Ahiaukwu  II,23330_5
164,Nigeria,2016,Abia,23330,Umuahia South,4,Ahiaukwu  I,23330_4
164,Nigeria,2016,Abia,23330,Umuahia South,3,Ohiaocha,23330_3
164,Nigeria,2016,Abia,23330,Umuahia South,6,Old Umuahia,23330_6
164,Nigeria,2016,Abia,23330,Umuahia South,7,Amakama,23330_7
164,Nigeria,2016,Abia,23330,Umuahia South,8,Ubakala  'A',23330_8
164,Nigeria,2016,Abia,23330,Umuahia South,10,Ubakala  'B',23330_10
164,Nigeria,2016,Abia,23330,Umuahia South,9,Nsirimo,23330_9
164,Nigeria,2016,Abia,23330,Umuahia South,2,Omaegwu,23330_2
164,Nigeria,2016,Abia,23331,Umu-Nneochi,10,Umuchieze  II,23331_10
164,Nigeria,2016,Abia,23331,Umu-Nneochi,11,Umuchieze  III,23331_11
164,Nigeria,2016,Abia,23331,Umu-Nneochi,12,Obinolu/Obiagu/La,23331_12
164,Nigeria,2016,Abia,23331,Umu-Nneochi,7,Eziama - Agbo,23331_7
164,Nigeria,2016,Abia,23331,Umu-Nneochi,3,Mbala/Achara,23331_3
164,Nigeria,2016,Abia,23331,Umu-Nneochi,5,Ndiawa/Umuelem/I,23331_5
164,Nigeria,2016,Abia,23331,Umu-Nneochi,4,Ezingodo,23331_4
164,Nigeria,2016,Abia,23331,Umu-Nneochi,8,Ubahu/Akawa/Arokpa,23331_8
164,Nigeria,2016,Abia,23331,Umu-Nneochi,9,Umuchieze I,23331_9
164,Nigeria,2016,Abia,23331,Umu-Nneochi,6,Eziama - Ugwu,23331_6
164,Nigeria,2016,Abia,23331,Umu-Nneochi,2,Umuaku,23331_2
164,Nigeria,2016,Abia,23331,Umu-Nneochi,1,Amuda,23331_1
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,10,Gawu,23590_10
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,9,Gurdi,23590_9
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,6,Nuku,23590_6
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,2,Abaji North East,23590_2
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,5,Rimba Ebagi,23590_5
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,1,Abaji Central,23590_1
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,7,Alu Mamagi,23590_7
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,4,Agyana/Pandagi,23590_4
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,8,Yaba,23590_8
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,10,Usama,23592_10
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,7,Dutse Alhaji,23592_7
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,8,Byazhin,23592_8
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,2,Kurudu,23592_2
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,1,Bwari Central,23592_1
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,5,Kawu,23592_5
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,4,Shere,23592_4
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,6,Ushafa,23592_6
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,3,Igu,23592_3
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,1,Gwagwalada Centre,23593_1
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,2,Kutunku,23593_2
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,3,Staff Quarters,23593_3
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,6,Paiko,23593_6
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,7,Tungan Maje,23593_7
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,10,Gwako,23593_10
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,8,Zuba,23593_8
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,9,Ikwa,23593_9
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,4,Ibwa,23593_4
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,5,Dobi,23593_5
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,2,Chibiri,23594_2
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,1,Kuje,23594_1
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,3,Gaube,23594_3
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,4,Kwaku,23594_4
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,5,Kabi,23594_5
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,8,Gudun Karya,23594_8
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,9,Kujekwa,23594_9
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,10,Yenche,23594_10
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,7,Gwargwada,23594_7
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,6,Rubochi,23594_6
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,7,Ashara,23595_7
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,9,Wako,23595_9
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,10,Yebu,23595_10
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,8,Gumbo,23595_8
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,2,Yangoji,23595_2
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,3,Pai,23595_3
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,1,Kwali Ward,23595_1
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,4,Kilankwa,23595_4
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,5,Dafa,23595_5
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,6,Kundu,23595_6
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,3,Abaji South East,23590_3
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,8,Kashi,23591_8
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,2,Garki,23591_2
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,1,City Centre,23591_1
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,4,Wuse,23591_4
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,5,Gwarimpa,23591_5
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,3,Kabusa,23591_3
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,12,Gwagwa,23591_12
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,6,Jiwa,23591_6
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,7,Gui,23591_7
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,10,Karu,23591_10
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,11,Nyanya,23591_11
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,9,Orozo,23591_9
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,9,Kubwa,23592_9
164,Nigeria,2017,Adamawa,23332,Demsa,8,Kpasham,23332_8
164,Nigeria,2017,Adamawa,23332,Demsa,5,Dong,23332_5
164,Nigeria,2017,Adamawa,23332,Demsa,10,Nassarawo Demsa,23332_10
164,Nigeria,2017,Adamawa,23332,Demsa,4,Dilli,23332_4
164,Nigeria,2017,Adamawa,23332,Demsa,6,Dwam,23332_6
164,Nigeria,2017,Adamawa,23332,Demsa,9,Mbula Kuli,23332_9
164,Nigeria,2017,Adamawa,23332,Demsa,2,Borrong,23332_2
164,Nigeria,2017,Adamawa,23332,Demsa,7,Gwamba,23332_7
164,Nigeria,2017,Adamawa,23332,Demsa,3,Demsa,23332_3
164,Nigeria,2017,Adamawa,23333,Fufore,2,Farang,23333_2
164,Nigeria,2017,Adamawa,23333,Fufore,10,Wuro Bokki,23333_10
164,Nigeria,2017,Adamawa,23333,Fufore,7,Pariya,23333_7
164,Nigeria,2017,Adamawa,23333,Fufore,8,Ribadu,23333_8
164,Nigeria,2017,Adamawa,23333,Fufore,3,Fufore,23333_3
164,Nigeria,2017,Adamawa,23333,Fufore,4,Gurin,23333_4
164,Nigeria,2017,Adamawa,23333,Fufore,1,Beti,23333_1
164,Nigeria,2017,Adamawa,23333,Fufore,6,Mayo Ine,23333_6
164,Nigeria,2017,Adamawa,23333,Fufore,9,Uki tuki,23333_9
164,Nigeria,2017,Adamawa,23333,Fufore,11,Yadim,23333_11
164,Nigeria,2017,Adamawa,23333,Fufore,5,Karlahi,23333_5
164,Nigeria,2017,Adamawa,23334,Ganye,8,Sugu,23334_8
164,Nigeria,2017,Adamawa,23334,Ganye,2,Gamu,23334_2
164,Nigeria,2017,Adamawa,23334,Ganye,6,Jaggu,23334_6
164,Nigeria,2017,Adamawa,23334,Ganye,4,Ganye II,23334_4
164,Nigeria,2017,Adamawa,23334,Ganye,5,Gurum,23334_5
164,Nigeria,2017,Adamawa,23334,Ganye,9,Timdore,23334_9
164,Nigeria,2017,Adamawa,23334,Ganye,10,Yebbi,23334_10
164,Nigeria,2017,Adamawa,23334,Ganye,1,Bakari Guso,23334_1
164,Nigeria,2017,Adamawa,23334,Ganye,3,Ganye I,23334_3
164,Nigeria,2017,Adamawa,23334,Ganye,7,Sangasumi,23334_7
164,Nigeria,2017,Adamawa,23335,Gombi,7,Garkida,23335_7
164,Nigeria,2017,Adamawa,23335,Gombi,5,Gombi North,23335_5
164,Nigeria,2017,Adamawa,23335,Gombi,6,Gombi South,23335_6
164,Nigeria,2017,Adamawa,23335,Gombi,8,Guyaku,23335_8
164,Nigeria,2017,Adamawa,23335,Gombi,9,Tawa,23335_9
164,Nigeria,2017,Adamawa,23335,Gombi,3,Ga'anda,23335_3
164,Nigeria,2017,Adamawa,23335,Gombi,4,Gabun,23335_4
164,Nigeria,2017,Adamawa,23335,Gombi,1,Boga/ Dingai,23335_1
164,Nigeria,2017,Adamawa,23335,Gombi,2,Duwa,23335_2
164,Nigeria,2017,Adamawa,23335,Gombi,10,Yang,23335_10
164,Nigeria,2017,Adamawa,23337,Guyuk,8,Kola,23337_8
164,Nigeria,2017,Adamawa,23337,Guyuk,6,Dumna,23337_6
164,Nigeria,2017,Adamawa,23337,Guyuk,4,Chikila,23337_4
164,Nigeria,2017,Adamawa,23337,Guyuk,1,Banjiram,23337_1
164,Nigeria,2017,Adamawa,23337,Guyuk,5,Dukul,23337_5
164,Nigeria,2017,Adamawa,23337,Guyuk,9,Lokoro,23337_9
