City,NAME_EN,LGA_ID,WIKIDATA,STATE,STATE_QID,MS_FB_PARE,MS_FB
Aba,Aba South,23316,Q4663117,Abia State,Q320852,country:ng/state:ab,country:ng/state:ab/lga:23316
Abeokuta,Abeokuta South,23878,Q3509517,Ogun State,Q836657,country:ng/state:og,country:ng/state:og/lga:23878
Abua/Odual,Abua/Odual,23996,Q4670480,Rivers State,Q503923,country:ng/state:ri,country:ng/state:ri/lga:23996
Abuja,Abuja Municipal,23591,Q28468899,Federal Capital Territory,Q509300,country:ng/capital-territory:fc,country:ng/capital-territory:fc/lga:23591
Ado Ekiti,Ado Ekiti,23557,Q359955,Ekiti State,Q534917,country:ng/state:ek,country:ng/state:ek/lga:23557
Ado-Odo/Ota,Ado-Odo/Ota,23880,Q3510345,Ogun State,Q836657,country:ng/state:og,country:ng/state:og/lga:23880
Agege,Agege,23820,Q3509545,Lagos,Q815913,country:ng/state:la,country:ng/state:la/lga:23820
Aguata,Aguata,23384,Q4694513,Anambra State,Q117714,country:ng/state:an,country:ng/state:an/lga:23384
Ajeromi,Ajeromi-Ifelodun,23821,Q3509013,Lagos,Q815913,country:ng/state:la,country:ng/state:la/lga:23821
Akko,Akko,23596,Q3510455,Gombe State,Q376241,country:ng/state:go,country:ng/state:go/lga:23596
Akoko-Edo,Akoko Edo,23539,Q4701504,Edo State,Q682704,country:ng/state:ed,country:ng/state:ed/lga:23539
Akpabuyo,Akpabuyo,23485,Q4701571,Cross River State,Q739676,country:ng/state:cr,country:ng/state:cr/lga:23485
Akure,Akure South,23903,Q4701976,Ondo State,Q836654,country:ng/state:on,country:ng/state:on/lga:23903
Alimosho,Alimosho,23822,Q3509580,Lagos,Q815913,country:ng/state:la,country:ng/state:la/lga:23822
Alkaleri,Alkaleri,23405,Q4727632,Bauchi State,Q503936,country:ng/state:ba,country:ng/state:ba/lga:23405
Amuwo-Odofin,Amuwo-Odofin,23823,Q3509621,Lagos,Q815913,country:ng/state:la,country:ng/state:la/lga:23823
Anaocha,Anaocha,23387,Q4751505,Anambra State,Q117714,country:ng/state:an,country:ng/state:an/lga:23387
Ankpa,Ankpa,23785,Q4766098,Kogi State,Q387745,country:ng/state:ko,country:ng/state:ko/lga:23785
Bama,Bama,23458,Q3331583,Borno State,Q130626,country:ng/state:bo,country:ng/state:bo/lga:23458
Bauchi,Bauchi,23406,Q811144,Bauchi State,Q503936,country:ng/state:ba,country:ng/state:ba/lga:23406
Bichi,Bichi,23688,Q4903607,Kano State,Q682571,country:ng/state:kn,country:ng/state:kn/lga:23688
Birnin Kebbi,Birnin Kebbi,23767,Q865828,Kebbi State,Q748523,country:ng/state:ke,country:ng/state:ke/lga:23767
Birnin Kudu,Birnin Kudu,23637,Q4916902,Jigawa State,Q682691,country:ng/state:ji,country:ng/state:ji/lga:23637
Birnin-Gwari,Birnin Gwari,23661,Q13140400,Kaduna State,Q878284,country:ng/state:kd,country:ng/state:kd/lga:23661
Bungudu,Bungudu,24080,Q4997683,Zamfara State,Q145793,country:ng/state:za,country:ng/state:za/lga:24080
Chikun,Chikun,23662,Q5097501,Kaduna State,Q878284,country:ng/state:kd,country:ng/state:kd/lga:23662
Dala,"Dala, Nigeria",23690,Q5210142,Kano State,Q682571,country:ng/state:kn,country:ng/state:kn/lga:23690
Dekina,Dekina,23787,Q5252818,Kogi State,Q387745,country:ng/state:ko,country:ng/state:ko/lga:23787
Dutse,Dutse,23639,Q1023713,Jigawa State,Q682691,country:ng/state:ji,country:ng/state:ji/lga:23639
Egbeda,Egbeda,23950,Q5347703,Oyo State,Q503905,country:ng/state:oy,country:ng/state:oy/lga:23950
Egor,Egor,23540,Q5348227,Edo State,Q682704,country:ng/state:ed,country:ng/state:ed/lga:23540
Ekeremor,Ekeremor,23426,Q5350399,Bayelsa State,Q532153,country:ng/state:by,country:ng/state:by/lga:23426
Enugu,Enugu East,23575,Q5380873,Enugu State,Q3817714,country:ng/state:en,country:ng/state:en/lga:23575
Eti-Osa,Eti-Osa,23827,Q5404527,Lagos,Q815913,country:ng/state:la,country:ng/state:la/lga:23827
Fune,Fune,24063,Q5509089,Yobe State,Q682777,country:ng/state:yo,country:ng/state:yo/lga:24063
Gamawa,Gamawa,23411,Q5519589,Bauchi State,Q503936,country:ng/state:ba,country:ng/state:ba/lga:23411
